Time (s)	Velocity (mph)
1572	74.9994797
1573	75.6829878
1574	76.1800846
1575	76.5529072
1576	76.8014556
1577	76.8635927
1578	76.8014556
1579	76.6150443
1580	76.428633
1581	76.1179475
1582	75.8693991
1583	75.4965765
1584	75.0616168
1585	74.56452
1586	74.0052861
1587	73.3839151
1588	72.7625441
1589	72.2033102
1590	71.7683505
1591	71.3955279
1592	71.1469795
1593	70.8984311
1594	70.7741569
1595	70.6498827
1596	70.4013343
1597	70.1527859
1598	69.7178262
1599	69.2207294
1600	68.6614955
1601	68.0401245
1602	67.4187535
1603	66.9216567
1604	66.5488341
1605	66.2381486
1606	66.1138744
1607	65.9896002
1608	65.9896002
1609	65.9896002
1610	66.1138744
1611	66.1760115
1612	66.3624228
1613	66.6109712
1614	66.9837938
1615	67.4187535
1616	67.9779874
1617	68.6614955
1618	69.4071407
1619	70.214923
1620	70.8984311
1621	71.5198021
1622	72.0168989
1623	72.3897215
1624	72.5139957
1625	72.4518586
1626	72.2033102
1627	71.5819392
1628	70.7120198
1629	69.593552
1630	68.4129471
1631	67.2944793
1632	66.486697
1633	65.9274631
1634	65.7410518
1635	65.6789147
1636	65.6789147
1637	65.6167776
1638	65.4303663
1639	65.1818179
1640	64.8711324
1641	64.622584
1642	64.4983098
1643	64.5604469
1644	64.8711324
1645	65.3060921
1646	65.9274631
1647	66.6109712
1648	67.4187535
1649	68.2886729
1650	69.1585923
1651	70.0285117
1652	70.7741569
1653	71.457665
1654	72.079036
1655	72.5761328
1656	73.0732296
1657	73.5703264
1658	74.0674232
1659	74.56452
1660	75.0616168
1661	75.5587136
1662	75.9936733
1663	76.4907701
1664	76.9257298
1665	77.2985524
1666	77.671375
1667	77.9199234
1668	78.1684718
1669	78.3548831
1670	78.5412944
1671	78.6655686
1672	78.7277057
1673	78.7898428
1674	78.8519799
1675	78.8519799
1676	78.8519799
1677	78.7898428
1678	78.6655686
1679	78.4791573
1680	78.292746
1681	78.1063347
1682	78.0441976
1683	78.0441976
1684	78.1684718
1685	78.4170202
1686	78.6655686
1687	78.914117
1688	79.1626654
1689	79.2869396
1690	79.4112138
1691	79.4733509
1692	79.535488
1693	79.5976251
1694	79.6597622
1695	79.7218993
1696	79.7840364
1697	79.8461735
1698	79.9083106
1699	79.9083106
1700	79.8461735
1701	79.7218993
1702	79.5976251
1703	79.4733509
1704	79.2869396
1705	79.1626654
1706	79.0383912
1707	78.914117
1708	78.8519799
1709	78.7898428
1710	78.7277057
1711	78.7898428
1712	78.8519799
1713	78.9762541
1714	79.1626654
1715	79.3490767
1716	79.5976251
1717	79.8461735
1718	80.156859
1719	80.4675445
1720	80.8403671
1721	81.1510526
1722	81.399601
1723	81.5238752
1724	81.5860123
1725	81.5238752
1726	81.2131897
1727	80.6539558
1728	79.7840364
1729	78.6034315
1730	77.1121411
1731	75.5587136
1732	73.943149
1733	72.3897215
1734	70.8984311
1735	69.4692778
1736	68.0401245
1737	66.5488341
1738	65.1196808
1739	63.6905275
1740	62.3856484
1741	61.2671806
1742	60.3972612
1743	59.5894789
1744	58.9059708
1745	58.2845998
1746	57.6632288
1747	57.0418578
1748	56.544761
1749	56.0476642
1750	55.6748416
1751	55.3641561
1752	55.0534706
1753	54.7427851
1754	54.4320996
1755	54.1214141
1756	53.8107286
1757	53.5000431
1758	53.1272205
1759	52.816535
1760	52.4437124
1761	52.0708898
1762	51.6980672
1763	51.3252446
1764	50.952422
1765	50.5174623
1766	49.9582284
1767	49.1504461
1768	48.0941154
1769	46.6649621
1770	44.9251233
1771	42.9367361
1772	40.9483489
1773	38.9599617
1774	37.0958487
1775	35.418147
1776	33.9268566
1777	32.4355662
1778	30.8821387
1779	29.0801628
1780	27.0296385
1781	24.7927029
1782	22.6179044
1783	20.6295172
1784	18.9518155
1785	17.5847993
1786	16.3420573
1787	15.1614524
1788	13.9808475
1789	12.7381055
1790	11.3089522
1791	9.6312505
1792	7.6428633
1793	5.4059277
1794	3.2311292
1795	0
1796	0
1797	0
1798	0
1799	0
1800	0
